"","SITE","SUBSITE","PLOT","YEAR","TRTMT","Latitude","WarmQuarterTemp","SppRich","row_number()","PlotTemp"
"1","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.10new",2007,"CTL",78.87448,25.55,9,1,26.4245851737195
"2","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.11new",2007,"CTL",78.87448,25.55,9,2,25.2204185247246
"3","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.12",2007,"CTL",78.87448,25.55,7,3,25.2674571732962
"4","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.12new",2007,"CTL",78.87448,25.55,8,4,25.3157099090448
"5","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.13",2007,"CTL",78.87448,25.55,6,5,24.6860264992607
"6","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.13new",2007,"CTL",78.87448,25.55,10,6,23.6442426675524
"7","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.14new",2007,"CTL",78.87448,25.55,7,7,24.5468997617076
"8","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.15new",2007,"CTL",78.87448,25.55,8,8,25.3296952154875
"9","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.16",2007,"CTL",78.87448,25.55,8,9,27.5056025536852
"10","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.16new",2007,"CTL",78.87448,25.55,10,10,27.3849732291019
"11","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.17new",2007,"CTL",78.87448,25.55,9,11,25.2957998494631
"12","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.18new",2007,"CTL",78.87448,25.55,8,12,24.6387794759943
"13","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.1new",2007,"CTL",78.87448,25.55,9,13,26.022510704116
"14","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.2",2007,"CTL",78.87448,25.55,8,14,27.9831674064741
"15","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.2new",2007,"CTL",78.87448,25.55,7,15,25.8392342343587
"16","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.3new",2007,"CTL",78.87448,25.55,5,16,25.0002698491579
"17","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.4",2007,"CTL",78.87448,25.55,8,17,26.5008562854494
"18","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.4new",2007,"CTL",78.87448,25.55,7,18,23.6404391051186
"19","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.5new",2007,"CTL",78.87448,25.55,8,19,24.9249332530573
"20","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.6new",2007,"CTL",78.87448,25.55,8,20,27.2885263382397
"21","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.7new",2007,"CTL",78.87448,25.55,7,21,22.975497249961
"22","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.8new",2007,"CTL",78.87448,25.55,9,22,25.5527117687608
"23","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.9",2007,"CTL",78.87448,25.55,7,23,25.6676106458808
"24","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.c.c.9new",2007,"CTL",78.87448,25.55,6,24,22.221945905221
"25","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.o.c.12",2007,"OTC",78.87448,25.55,8,25,25.2919112069393
"26","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.o.c.13",2007,"OTC",78.87448,25.55,7,26,27.2250486581191
"27","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.o.c.16",2007,"OTC",78.87448,25.55,9,27,26.8891905414166
"28","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.o.c.2",2007,"OTC",78.87448,25.55,7,28,25.3242450711626
"29","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.o.c.4",2007,"OTC",78.87448,25.55,10,29,23.5338427183728
"30","ALEXFIORD","ALEXFIORD:CASSIOPE","Cas.o.c.9",2007,"OTC",78.87448,25.55,9,30,28.4275086484621
"31","ALEXFIORD","ALEXFIORD:CASSIOPE_COVER","ALL",2007,"CTL",78.87448,25.55,6,31,24.176370661914
"32","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.c.1d",2008,"CTL",78.86221,1.05,1,32,2.24208237353199
"33","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.c.2d",2008,"CTL",78.86221,1.05,3,33,-0.22106050100448
"34","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.c.3d",2008,"CTL",78.86221,1.05,2,34,0.890686003975416
"35","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.c.4d",2008,"CTL",78.86221,1.05,2,35,1.57036940298012
"36","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.c.5d",2008,"CTL",78.86221,1.05,2,36,2.9093886614101
"37","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.o.1d",2008,"OTC",78.86221,1.05,3,37,1.37320682782039
"38","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.o.2d",2008,"OTC",78.86221,1.05,2,38,2.89651753291419
"39","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.o.3d",2008,"OTC",78.86221,1.05,2,39,2.73942799456844
"40","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.o.4d",2000,"OTC",78.86221,1.05,3,40,1.93632591109511
"41","ALEXFIORD","ALEXFIORD:DOMEDOLOMITE","Dom.o.5d",2008,"OTC",78.86221,1.05,2,41,1.19823700004862
"42","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.c.1g",2008,"CTL",78.86192,1.05,4,42,1.55125267192645
"43","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.c.2g",2008,"CTL",78.86192,1.05,4,43,0.0875070071454876
"44","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.c.3g",2008,"CTL",78.86192,1.05,3,44,1.88337249671811
"45","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.c.4g",2008,"CTL",78.86192,1.05,3,45,1.57757951969547
"46","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.c.5g",2008,"CTL",78.86192,1.05,3,46,0.0171212449669085
"47","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.o.1g",2008,"OTC",78.86192,1.05,4,47,-1.94558721382487
"48","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.o.2g",2008,"OTC",78.86192,1.05,7,48,-1.14611778895012
"49","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.o.3g",2008,"OTC",78.86192,1.05,4,49,1.22492591905333
"50","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.o.4g",2008,"OTC",78.86192,1.05,4,50,4.49179412690578
"51","ALEXFIORD","ALEXFIORD:DOMEGRANITE","Dom.o.5g",2008,"OTC",78.86192,1.05,7,51,0.854298830782633
"52","ALEXFIORD","ALEXFIORD:DRYAS","Dry.c.1",2015,"CTL",78.8719,25.55,12,52,27.1959105426608
"53","ALEXFIORD","ALEXFIORD:DRYAS","Dry.c.10",2015,"CTL",78.8719,25.55,11,53,24.6241815160869
"54","ALEXFIORD","ALEXFIORD:DRYAS","Dry.c.2",2010,"CTL",78.8719,25.55,9,54,26.1897444045031
"55","ALEXFIORD","ALEXFIORD:DRYAS","Dry.c.3",2015,"CTL",78.8719,25.55,11,55,24.9859459176469
"56","ALEXFIORD","ALEXFIORD:DRYAS","Dry.c.4",2010,"CTL",78.8719,25.55,11,56,25.6625778771117
