"","SITE","SUBSITE","PLOT","SPECIES_NAME","SumAbund"
"1","ATQASUK","AD","ADC01","Alectoria nigricans",5
"2","ATQASUK","AD","ADC01","Cassiope tetragona",5
"3","ATQASUK","AD","ADC01","Cetraria cucullata",6
"4","ATQASUK","AD","ADC01","Diapensia lapponica",6
"5","ATQASUK","AD","ADC01","Dicranum acutifolium",1
"6","ATQASUK","AD","ADC01","Ledum palustre",6
"7","ATQASUK","AD","ADC01","Luzula confusa",4
"8","ATQASUK","AD","ADC01","Salix phlebophylla",5
"9","ATQASUK","AD","ADC01","Vaccinium vitis-idaea",17
"10","ATQASUK","AD","ADC02","Alectoria nigricans",4
"11","ATQASUK","AD","ADC02","Alectoria ochroleuca",1
"12","ATQASUK","AD","ADC02","Carex bigelowii",6
"13","ATQASUK","AD","ADC02","Cassiope tetragona",4
"14","ATQASUK","AD","ADC02","Cetraria cucullata",4
"15","ATQASUK","AD","ADC02","Diapensia lapponica",5
"16","ATQASUK","AD","ADC02","Dicranum acutifolium",2
"17","ATQASUK","AD","ADC02","Ledum palustre",11
"18","ATQASUK","AD","ADC02","Luzula confusa",2
"19","ATQASUK","AD","ADC02","Persicaria bistorta",1
"20","ATQASUK","AD","ADC02","Salix phlebophylla",6
"21","ATQASUK","AD","ADC02","Sphaerophorus globosus",2
"22","ATQASUK","AD","ADC02","Vaccinium vitis-idaea",19
"23","ATQASUK","AD","ADC03","Alectoria nigricans",7
"24","ATQASUK","AD","ADC03","Carex bigelowii",29
"25","ATQASUK","AD","ADC03","Cassiope tetragona",2
"26","ATQASUK","AD","ADC03","Cetraria cucullata",4
"27","ATQASUK","AD","ADC03","Cetraria laevigata",3
"28","ATQASUK","AD","ADC03","Dactylina arctica",1
"29","ATQASUK","AD","ADC03","Diapensia lapponica",2
"30","ATQASUK","AD","ADC03","Dicranum acutifolium",6
"31","ATQASUK","AD","ADC03","Ledum palustre",1
"32","ATQASUK","AD","ADC03","Luzula confusa",6
"33","ATQASUK","AD","ADC03","Persicaria bistorta",1
"34","ATQASUK","AD","ADC03","Salix phlebophylla",3
"35","ATQASUK","AD","ADC03","Sphaerophorus globosus",1
"36","ATQASUK","AD","ADC03","Trisetum spicatum",5
"37","ATQASUK","AD","ADC03","Vaccinium vitis-idaea",28
"38","ATQASUK","AD","ADC04","Alectoria nigricans",1
"39","ATQASUK","AD","ADC04","Cassiope tetragona",1
"40","ATQASUK","AD","ADC04","Cetraria cucullata",3
"41","ATQASUK","AD","ADC04","Cetraria laevigata",1
"42","ATQASUK","AD","ADC04","Dicranum acutifolium",3
"43","ATQASUK","AD","ADC04","Hierochloe alpina",9
"44","ATQASUK","AD","ADC04","Ledum palustre",5
