"","SITE","SUBSITE","PLOT","Alectoria nigricans","Cassiope tetragona","Cetraria cucullata","Diapensia lapponica","Dicranum acutifolium","Ledum palustre","Luzula confusa","Salix phlebophylla","Vaccinium vitis-idaea","Alectoria ochroleuca","Carex bigelowii","Persicaria bistorta","Sphaerophorus globosus","Cetraria laevigata","Dactylina arctica","Trisetum spicatum","Hierochloe alpina","Cetraria nivalis","Dicranum elongatum","Dicranum spadiceum","Cladonia crustose","Cladonia uncialis","Cladonia gracilis","Cornicularia divergens","Antennaria friesiana","Cladina mitis","Minuartia obtusiloba","Cetraria delisei","Cladina rangiferina","Cladonia pyxidata","Aulacomnium turgidum","Racomitrium lanuginosum","Cetraria islandica","Cladonia coccifera","Cladonia squasmosa","Luzula nivalis","Betula nana","Carex aquatilis","Carex rariflora","Eriophorum angustifolium","Eriophorum scheuchzeri/chamissonis","Oncophorus wahlenbergii","Pedicularis sudetica","Salix polaris","Salix pulchra","Aulacomnium palustre","Persicaria vivipara","Dupontia fisheri","Gymnocolea inflata","Ptychostomum capillare","Rhytidium rugosum","Loeskypnum badium","Luzula wahlenbergii","Ptilidium ciliare","Carex rotundata","Salix rotundifolia","Arctagrostis latifolia","Hylocomium splendens","Peltigera canina","Poa arctica","Potentilla hyparctica","Alopecurus alpinus","Carex aquatilis var. minor","Peltigera aphthosa","Saxifraga cernua","Saxifraga punctata","Stellaria longipes","Tomentypnum nitens","Peltigera rufescens","Peltigera leucophlebia","Tephroseris integrifolia subsp. atropurpurea","Cetraria ericetorum","Pedicularis lanata","Papaver lapponicum","Cetraria richardsonii","Peltigera malacea","Pohlia cruda","Lobaria linita","Campylium stellatum","Cochlearia officinalis","Draba lactea","Eriophorum angustifolium subsp. triste","Hierochloe pauciflora","Meesia triquetra","Saxifraga foliolosa","Saxifraga hieraciifolia","Cardamine pratensis","Petasites frigidus","Saxifraga hirculus","Calamagrostis holmii","Cerastium beeringianum","Chrysosplenium tetrandrum","Ranunculus nivalis","Aneura pinguis","Silene uralensis subsp. apetala","Brachythecium turgidum","Cladonia cornuta","Carex subspathacea"
"1","ATQASUK","AD","ADC01",5,5,6,6,1,6,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","ATQASUK","AD","ADC02",4,4,4,5,2,11,2,6,19,1,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ATQASUK","AD","ADC03",7,2,4,2,6,1,6,3,28,0,29,1,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","ATQASUK","AD","ADC04",1,1,3,0,3,5,3,0,8,0,0,0,1,1,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","ATQASUK","AD","ADC05",6,4,10,3,3,8,13,0,12,0,9,0,4,3,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ATQASUK","AD","ADC06",3,1,4,0,0,4,6,1,9,0,0,0,5,2,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ATQASUK","AD","ADC07",7,3,8,3,0,13,21,0,9,1,9,0,10,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","ATQASUK","AD","ADC08",5,8,7,1,0,21,12,2,11,0,10,0,1,1,1,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","ATQASUK","AD","ADC09",7,5,5,7,0,9,2,0,3,0,0,0,5,1,0,0,11,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","ATQASUK","AD","ADC10",1,1,3,1,0,16,2,7,4,0,1,2,9,1,0,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","ATQASUK","AD","ADC11",7,3,5,1,0,4,3,0,11,0,0,3,4,4,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","ATQASUK","AD","ADC12",2,7,5,4,0,4,2,0,4,1,0,4,7,0,0,2,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","ATQASUK","AD","ADC13",3,2,8,3,0,17,1,0,13,0,0,2,0,0,0,14,10,1,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
